date,loc_id,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,winddirdegree,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-08-11,1,35,23,28,0.0,11,13.6,304,113,49,10,1005,1,29,15,28,14,29,7,5.983333333333333,19.4,13.8,8,-0.8660254037844384,-0.5000000000000004,11,0.7907757369376989,-0.6121059825476626,0.559192903470747,-0.8290375725550416
2008-08-12,1,34,24,29,0.0,12,13.6,304,113,48,10,1006,0,29,14,29,15,29,7,5.983333333333333,19.383333333333333,6.9,8,-0.8660254037844384,-0.5000000000000004,12,0.6513724827222223,-0.7587581226927909,0.559192903470747,-0.8290375725550416
2008-08-13,1,32,21,26,0.0,13,13.6,307,113,60,8,1007,19,26,16,26,16,26,7,6.0,19.366666666666667,0.0,8,-0.8660254037844384,-0.5000000000000004,13,0.48530196253108104,-0.8743466161445821,0.6018150231520479,-0.798635510047293
2008-08-14,1,32,20,26,0.0,12,13.6,293,113,62,9,1005,5,27,17,26,14,27,7,6.0,19.35,0.0,8,-0.8660254037844384,-0.5000000000000004,14,0.29936312297335804,-0.9541392564000488,0.3907311284892735,-0.9205048534524405
2008-08-15,1,34,21,27,0.0,11,13.6,290,113,59,10,1004,5,29,17,27,13,29,7,6.016666666666667,19.333333333333332,6.9,8,-0.8660254037844384,-0.5000000000000004,15,0.10116832198743272,-0.994869323391895,0.342020143325669,-0.9396926207859083
2008-08-16,1,34,24,29,0.0,11,13.6,268,113,45,10,1004,0,29,12,29,14,29,7,6.033333333333333,19.316666666666666,13.8,8,-0.8660254037844384,-0.5000000000000004,16,-0.10116832198743204,-0.9948693233918952,-0.03489949670250076,-0.9993908270190958
2008-08-17,1,36,24,30,0.0,10,13.6,207,113,34,10,1006,0,30,10,30,15,30,8,6.033333333333333,19.3,20.7,8,-0.8660254037844384,-0.5000000000000004,17,-0.2993631229733582,-0.9541392564000488,-0.8910065241883679,-0.4539904997395467
2008-08-18,1,40,25,31,0.0,12,13.6,245,113,34,10,1007,0,31,11,31,16,31,8,6.05,19.283333333333335,27.6,8,-0.8660254037844384,-0.5000000000000004,18,-0.4853019625310808,-0.8743466161445822,-0.42261826174069916,-0.90630778703665
2008-08-19,1,39,25,30,0.0,13,13.6,316,113,44,10,1005,0,30,14,30,15,30,7,6.066666666666666,19.266666666666666,34.5,8,-0.8660254037844384,-0.5000000000000004,19,-0.651372482722222,-0.7587581226927911,0.7193398003386509,-0.6946583704589976
2008-08-20,1,38,25,30,0.0,11,13.6,292,113,54,10,1005,0,30,17,30,14,30,7,6.066666666666666,19.25,41.4,8,-0.8660254037844384,-0.5000000000000004,20,-0.7907757369376986,-0.6121059825476627,0.37460659341591196,-0.9271838545667874
2008-08-21,1,34,23,27,0.0,14,13.6,294,113,69,10,1006,7,29,20,27,18,29,7,6.083333333333333,19.233333333333334,48.3,8,-0.8660254037844384,-0.5000000000000004,21,-0.8978045395707417,-0.44039415155763423,0.40673664307579976,-0.9135454576426011
2008-08-22,1,34,23,28,0.1,12,13.6,282,113,59,9,1006,22,29,17,28,16,29,7,6.083333333333333,19.2,55.2,8,-0.8660254037844384,-0.5000000000000004,22,-0.9680771188662041,-0.2506525322587213,0.20791169081775943,-0.9781476007338056
2008-08-23,1,34,23,28,0.0,12,13.6,283,113,55,10,1005,1,29,17,28,14,29,7,6.1,19.183333333333334,62.1,8,-0.8660254037844384,-0.5000000000000004,23,-0.9987165071710528,-0.05064916883871355,0.22495105434386492,-0.9743700647852352
2008-08-24,1,35,24,29,0.0,10,13.6,227,113,55,10,1006,2,30,17,29,12,30,7,6.116666666666666,19.166666666666668,69.0,8,-0.8660254037844384,-0.5000000000000004,24,-0.9884683243281114,0.15142777750457667,-0.6819983600624986,-0.7313537016191705
2008-08-25,1,36,23,30,0.0,8,13.6,244,113,53,9,1009,5,30,16,30,10,30,7,6.116666666666666,19.15,75.9,8,-0.8660254037844384,-0.5000000000000004,25,-0.9377521321470804,0.3473052528448203,-0.43837114678907774,-0.8987940462991668
2008-08-26,1,38,26,32,0.0,9,13.6,237,113,38,10,1009,1,32,14,32,13,32,8,6.133333333333334,19.133333333333333,82.8,8,-0.8660254037844384,-0.5000000000000004,26,-0.848644257494751,0.5289640103269624,-0.544639035015027,-0.838670567945424
2008-08-27,1,39,27,31,0.0,10,13.6,277,113,42,10,1007,10,32,15,31,14,32,8,6.15,19.1,89.7,8,-0.8660254037844384,-0.5000000000000004,27,-0.72479278722912,0.6889669190756865,0.12186934340514768,-0.992546151641322
2008-08-28,1,40,25,31,0.0,9,13.6,317,113,46,10,1007,28,31,15,31,14,31,8,6.15,19.083333333333332,96.6,8,-0.8660254037844384,-0.5000000000000004,28,-0.5712682150947924,0.8207634412072763,0.7313537016191707,-0.6819983600624983
2008-08-29,1,38,27,31,0.0,12,13.6,316,113,44,10,1008,27,31,16,31,15,31,8,6.166666666666667,19.066666666666666,96.6,8,-0.8660254037844384,-0.5000000000000004,29,-0.3943558551133187,0.9189578116202306,0.7193398003386509,-0.6946583704589976
2008-08-30,1,38,24,29,0.0,11,13.6,309,113,49,10,1008,4,30,15,29,14,30,7,6.166666666666667,19.05,89.7,8,-0.8660254037844384,-0.5000000000000004,30,-0.20129852008866114,0.9795299412524943,0.6293203910498375,-0.7771459614569708
2008-08-31,1,37,22,28,0.0,11,13.6,313,113,57,9,1008,11,29,17,28,14,29,7,6.183333333333334,19.033333333333335,82.8,8,-0.8660254037844384,-0.5000000000000004,31,-2.4492935982947064e-16,1.0,0.6819983600624986,-0.7313537016191703
2008-09-01,1,37,22,28,0.0,10,13.6,298,113,60,10,1009,7,29,18,28,12,29,7,6.2,19.0,69.0,9,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,0.4694715627858904,-0.8829475928589271
2008-09-02,1,35,20,26,0.0,11,13.6,300,113,59,9,1010,25,27,16,26,14,27,7,6.2,18.983333333333334,62.1,9,-1.0,-1.8369701987210297e-16,2,0.39435585511331855,0.9189578116202306,0.5000000000000001,-0.8660254037844386
2008-09-03,1,35,21,27,0.0,11,13.6,265,113,58,10,1009,12,28,16,27,14,28,7,6.216666666666667,18.966666666666665,55.2,9,-1.0,-1.8369701987210297e-16,3,0.5712682150947923,0.8207634412072763,-0.08715574274765825,-0.9961946980917455
2008-09-04,1,40,23,31,0.0,8,13.6,320,113,50,10,1008,11,32,16,31,11,32,8,6.216666666666667,18.933333333333334,48.3,9,-1.0,-1.8369701987210297e-16,4,0.7247927872291199,0.6889669190756866,0.7660444431189778,-0.6427876096865396
2008-09-05,1,39,24,30,0.0,9,13.6,300,113,53,10,1008,22,32,18,30,12,32,8,6.233333333333333,18.916666666666668,41.4,9,-1.0,-1.8369701987210297e-16,5,0.8486442574947509,0.5289640103269624,0.5000000000000001,-0.8660254037844386
2008-09-06,1,37,24,30,0.0,10,13.6,257,113,51,10,1008,23,30,17,30,13,30,7,6.25,18.9,34.5,9,-1.0,-1.8369701987210297e-16,6,0.9377521321470804,0.3473052528448203,-0.22495105434386525,-0.9743700647852351
2008-09-07,1,38,26,30,0.0,10,13.6,267,113,45,10,1007,13,31,15,30,14,31,8,6.25,18.866666666666667,27.6,9,-1.0,-1.8369701987210297e-16,7,0.9884683243281114,0.1514277775045767,-0.052335956242944306,-0.9986295347545738
2008-09-08,1,35,24,28,0.0,11,13.6,301,113,52,10,1008,1,29,16,28,13,29,7,6.266666666666667,18.85,20.7,9,-1.0,-1.8369701987210297e-16,8,0.9987165071710528,-0.05064916883871264,0.5150380749100542,-0.8571673007021123
2008-09-09,1,32,20,26,0.0,11,13.6,293,113,58,9,1009,15,26,15,26,14,26,7,6.266666666666667,18.833333333333332,13.8,9,-1.0,-1.8369701987210297e-16,9,0.9680771188662043,-0.2506525322587204,0.3907311284892735,-0.9205048534524405
2008-09-10,1,34,21,27,0.0,12,13.6,317,113,53,9,1009,6,28,15,27,15,28,7,6.283333333333333,18.816666666666666,6.9,9,-1.0,-1.8369701987210297e-16,10,0.8978045395707416,-0.4403941515576344,0.7313537016191707,-0.6819983600624983
2008-09-11,1,34,23,28,0.0,10,13.6,280,113,38,10,1009,0,28,10,28,14,28,7,6.3,18.783333333333335,0.0,9,-1.0,-1.8369701987210297e-16,11,0.7907757369376989,-0.6121059825476626,0.17364817766692997,-0.9848077530122081
2008-09-12,1,35,23,29,0.0,9,13.6,213,113,36,10,1008,1,28,11,29,12,28,7,6.3,18.766666666666666,0.0,9,-1.0,-1.8369701987210297e-16,12,0.6513724827222223,-0.7587581226927909,-0.838670567945424,-0.5446390350150271
2008-09-13,1,30,22,26,0.0,14,13.6,289,113,53,10,1010,2,26,14,26,18,26,7,6.316666666666666,18.75,6.9,9,-1.0,-1.8369701987210297e-16,13,0.48530196253108104,-0.8743466161445821,0.3255681544571563,-0.945518575599317
2008-09-14,1,31,20,25,0.0,12,13.6,306,113,59,9,1012,8,26,15,25,15,26,7,6.333333333333333,18.716666666666665,13.8,9,-1.0,-1.8369701987210297e-16,14,0.29936312297335804,-0.9541392564000488,0.5877852522924729,-0.8090169943749476
2008-09-15,1,35,21,29,0.0,6,13.6,249,113,50,10,1011,2,29,15,29,9,29,7,6.333333333333333,18.7,20.7,9,-1.0,-1.8369701987210297e-16,15,0.10116832198743272,-0.994869323391895,-0.3583679495453007,-0.9335804264972016
2008-09-16,1,37,24,30,0.0,8,13.6,281,113,40,10,1010,1,30,13,30,10,30,8,6.35,18.683333333333334,27.6,9,-1.0,-1.8369701987210297e-16,16,-0.10116832198743204,-0.9948693233918952,0.1908089953765451,-0.9816271834476639
2008-09-17,1,36,25,30,0.0,10,13.6,207,113,33,10,1009,0,29,10,30,14,29,7,6.35,18.65,34.5,9,-1.0,-1.8369701987210297e-16,17,-0.2993631229733582,-0.9541392564000488,-0.8910065241883679,-0.4539904997395467
2008-09-18,1,33,23,27,0.0,12,13.6,303,113,47,10,1010,1,27,13,27,15,27,7,6.366666666666666,18.633333333333333,41.4,9,-1.0,-1.8369701987210297e-16,18,-0.4853019625310808,-0.8743466161445822,0.5446390350150266,-0.8386705679454243
2008-09-19,1,30,18,24,0.0,10,13.6,312,113,60,9,1011,12,25,15,24,13,25,6,6.383333333333334,18.616666666666667,48.3,9,-1.0,-1.8369701987210297e-16,19,-0.651372482722222,-0.7587581226927911,0.6691306063588578,-0.7431448254773946
2008-09-20,1,30,21,25,0.0,10,13.6,320,113,55,10,1011,4,26,14,25,12,26,6,6.383333333333334,18.583333333333332,55.2,9,-1.0,-1.8369701987210297e-16,20,-0.7907757369376986,-0.6121059825476627,0.7660444431189778,-0.6427876096865396
2008-09-21,1,32,22,26,0.0,8,13.6,237,113,44,10,1012,1,26,10,26,11,26,7,6.4,18.566666666666666,62.1,9,-1.0,-1.8369701987210297e-16,21,-0.8978045395707417,-0.44039415155763423,-0.544639035015027,-0.838670567945424
2008-09-22,1,33,22,28,0.0,9,13.6,138,113,31,10,1011,4,27,8,28,13,27,7,6.4,18.55,69.0,9,-1.0,-1.8369701987210297e-16,22,-0.9680771188662041,-0.2506525322587213,-0.743144825477394,0.6691306063588583
2008-09-23,1,31,20,26,0.0,15,13.6,244,113,41,10,1010,5,26,11,26,20,26,7,6.416666666666667,18.516666666666666,75.9,9,-1.0,-1.8369701987210297e-16,23,-0.9987165071710528,-0.05064916883871355,-0.43837114678907774,-0.8987940462991668
2008-09-24,1,28,18,22,0.0,12,13.6,314,113,60,10,1014,10,23,13,22,15,23,6,6.433333333333334,18.5,82.8,9,-1.0,-1.8369701987210297e-16,24,-0.9884683243281114,0.15142777750457667,0.6946583704589973,-0.7193398003386512
2008-09-25,1,31,20,25,0.0,9,13.6,220,113,45,10,1013,3,25,11,25,12,25,7,6.433333333333334,18.483333333333334,89.7,9,-1.0,-1.8369701987210297e-16,25,-0.9377521321470804,0.3473052528448203,-0.766044443118978,-0.6427876096865393
2008-09-26,1,30,22,25,0.0,15,13.6,238,113,49,10,1011,17,26,13,25,21,26,7,6.45,18.45,96.6,9,-1.0,-1.8369701987210297e-16,26,-0.848644257494751,0.5289640103269624,-0.529919264233205,-0.848048096156426
2008-09-27,1,23,20,22,4.7,16,9.7,275,353,76,9,1013,81,24,17,22,20,22,5,6.466666666666667,18.433333333333334,96.6,9,-1.0,-1.8369701987210297e-16,27,-0.72479278722912,0.6889669190756865,0.08715574274765789,-0.9961946980917455
2008-09-28,1,26,19,21,0.2,11,12.1,276,113,70,10,1015,45,22,15,21,14,21,6,6.466666666666667,18.416666666666668,89.7,9,-1.0,-1.8369701987210297e-16,28,-0.5712682150947924,0.8207634412072763,0.10452846326765299,-0.9945218953682734
2008-09-29,1,30,18,24,0.0,6,13.6,238,113,56,9,1015,7,25,14,24,8,25,6,6.483333333333333,18.383333333333333,82.8,9,-1.0,-1.8369701987210297e-16,29,-0.3943558551133187,0.9189578116202306,-0.529919264233205,-0.848048096156426
2008-09-30,1,25,19,21,0.6,15,10.9,264,122,62,9,1015,61,22,13,21,20,21,5,6.483333333333333,18.366666666666667,75.9,9,-1.0,-1.8369701987210297e-16,30,-0.20129852008866114,0.9795299412524943,-0.10452846326765336,-0.9945218953682734
2008-10-01,1,26,19,21,0.0,9,13.6,298,113,60,10,1018,5,21,12,21,11,21,6,6.5,18.35,69.0,10,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,0.4694715627858904,-0.8829475928589271
2008-10-02,1,26,18,21,0.0,9,13.6,314,113,63,10,1017,3,21,12,21,11,21,6,6.516666666666667,18.333333333333332,62.1,10,-0.8660254037844386,0.5000000000000001,2,0.39435585511331855,0.9189578116202306,0.6946583704589973,-0.7193398003386512
2008-10-03,1,31,18,24,0.0,6,13.6,181,113,54,10,1017,5,25,12,24,7,25,6,6.516666666666667,18.3,55.2,10,-0.8660254037844386,0.5000000000000001,3,0.5712682150947923,0.8207634412072763,-0.9998476951563913,-0.017452406437283637
2008-10-04,1,34,21,26,0.0,6,13.6,104,113,38,10,1016,5,26,10,27,10,26,7,6.533333333333333,18.283333333333335,48.3,10,-0.8660254037844386,0.5000000000000001,4,0.7247927872291199,0.6889669190756866,-0.24192189559966779,0.9702957262759965
2008-10-05,1,34,23,28,0.0,8,13.6,182,113,32,10,1016,5,28,9,28,10,28,7,6.55,18.266666666666666,41.4,10,-0.8660254037844386,0.5000000000000001,5,0.8486442574947509,0.5289640103269624,-0.9993908270190958,-0.0348994967025009
2008-10-06,1,32,23,26,0.0,10,13.6,275,113,48,10,1017,1,27,13,26,13,27,7,6.55,18.233333333333334,34.5,10,-0.8660254037844386,0.5000000000000001,6,0.9377521321470804,0.3473052528448203,0.08715574274765789,-0.9961946980917455
2008-10-07,1,28,19,23,0.0,10,13.6,301,113,59,10,1016,7,25,14,23,13,25,6,6.566666666666666,18.216666666666665,27.6,10,-0.8660254037844386,0.5000000000000001,7,0.9884683243281114,0.1514277775045767,0.5150380749100542,-0.8571673007021123
2008-10-08,1,29,19,23,0.0,9,13.6,266,113,57,10,1015,2,22,12,23,11,22,6,6.583333333333333,18.2,20.7,10,-0.8660254037844386,0.5000000000000001,8,0.9987165071710528,-0.05064916883871264,-0.06975647374412558,-0.9975640502598242
2008-10-09,1,28,17,22,0.0,9,13.6,267,113,60,9,1016,17,22,11,22,12,22,6,6.583333333333333,18.183333333333334,13.8,10,-0.8660254037844386,0.5000000000000001,9,0.9680771188662043,-0.2506525322587204,-0.052335956242944306,-0.9986295347545738
2008-10-10,1,26,17,20,0.0,10,13.6,309,113,69,8,1017,26,21,14,21,13,21,6,6.6,18.166666666666668,6.9,10,-0.8660254037844386,0.5000000000000001,10,0.8978045395707416,-0.4403941515576344,0.6293203910498375,-0.7771459614569708
2008-10-11,1,25,17,20,0.0,11,13.6,312,113,69,8,1015,27,20,13,20,14,20,6,6.616666666666667,18.133333333333333,0.0,10,-0.8660254037844386,0.5000000000000001,11,0.7907757369376989,-0.6121059825476626,0.6691306063588578,-0.7431448254773946
