date,maxtempC,mintempC,avgtempC,totalprecipMM,windspeedKmph,sunhour,weatherCode,humidity,visibilityKm,pressureMB,cloudcover,DewPointC,WindGustKmph,sunrise,sunset,moon_illumination,month,month_sin,month_cos,day,day_sin,day_cos,wind_cos,wind_sin
2008-10-08,29,17,23,0.0,7,13.6,113,58,10,1015,2,12,8,6.583333333333333,18.2,20.7,10,-0.8660254037844386,0.5000000000000001,8,0.9987165071710528,-0.0506491688387126,-0.0174524064372834,-0.9998476951563912
2008-10-09,29,17,23,0.0,7,13.6,113,58,10,1016,6,12,10,6.6,18.183333333333334,13.8,10,-0.8660254037844386,0.5000000000000001,9,0.9680771188662044,-0.2506525322587204,-0.788010753606722,-0.6156614753256582
2008-10-10,27,16,21,0.0,7,13.6,113,68,9,1017,9,14,9,6.616666666666667,18.15,6.9,10,-0.8660254037844386,0.5000000000000001,10,0.8978045395707416,-0.4403941515576344,-0.2419218955996677,-0.9702957262759964
2008-10-11,27,16,21,0.0,8,13.6,113,67,9,1015,22,14,10,6.616666666666667,18.133333333333333,0.0,10,-0.8660254037844386,0.5000000000000001,11,0.7907757369376989,-0.6121059825476626,0.6018150231520479,-0.798635510047293
2008-10-12,29,17,22,0.0,6,13.6,113,57,9,1012,3,12,7,6.633333333333333,18.116666666666667,0.0,10,-0.8660254037844386,0.5000000000000001,12,0.6513724827222223,-0.7587581226927909,-0.3583679495453007,-0.9335804264972016
2008-10-13,33,18,26,0.0,10,13.6,113,31,10,1014,2,6,16,6.65,18.1,6.9,10,-0.8660254037844386,0.5000000000000001,13,0.485301962531081,-0.8743466161445821,-0.3907311284892737,0.9205048534524404
2008-10-14,38,24,29,0.2,11,13.6,113,25,10,1014,11,5,16,6.666666666666667,18.08333333333333,13.8,10,-0.8660254037844386,0.5000000000000001,14,0.299363122973358,-0.9541392564000488,-0.898794046299167,0.4383711467890773
2008-10-15,25,19,22,2.0,9,13.3,116,69,10,1018,37,16,11,6.666666666666667,18.066666666666663,20.7,10,-0.8660254037844386,0.5000000000000001,15,0.1011683219874327,-0.994869323391895,0.4539904997395466,-0.891006524188368
2008-10-16,25,16,20,0.0,9,13.6,116,71,10,1018,13,14,11,6.683333333333334,18.03333333333333,27.6,10,-0.8660254037844386,0.5000000000000001,16,-0.101168321987432,-0.9948693233918952,0.1045284632676529,-0.9945218953682734
2008-10-17,29,17,22,0.0,6,13.6,113,57,10,1017,2,12,8,6.7,18.016666666666666,34.5,10,-0.8660254037844386,0.5000000000000001,17,-0.2993631229733582,-0.9541392564000488,-0.9986295347545738,-0.0523359562429435
